ID,Page,Section heading,Category,Theorem level,Finding type,Severity,First-principles resolution,Probe machine-check status,Inscribed location,Physical insight
514,258,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
515,259,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Upgrade,Medium,"Moyal-Weyl star product f ⋆ g = ∑_n (ℏ/2)^n/n! · Π^n(f,g) with Poisson bivector Π = ∂_{z_1} ⊗ ∂_{z_2} - ∂_{z_2} ⊗ ∂_{z_1}; antisymmetrised version gives [f,g]_⋆ = ℏ {f,g} + O(ℏ²). Decorated PBW-Stokes complex computes the radial Stokes obstruction [(T_{a,b}, E^+_{a,b})] ∈ coker B_{a,b} for D^□_{a,b} = C^+_{a,b} ∂_2.","probe (1) N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ machine-checked",Appendix H (radial-parts-moyal); Appendix I §4 (decorated PBW-Stokes complex),Weyl-Moyal quantisation is the operational quantisation of the formal symplectic polydisk; PBW Stokes class measures radial Stokes corrections.
516,259,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
517,260,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Upgrade,Medium,"Moyal-Weyl star product f ⋆ g = ∑_n (ℏ/2)^n/n! · Π^n(f,g) with Poisson bivector Π = ∂_{z_1} ⊗ ∂_{z_2} - ∂_{z_2} ⊗ ∂_{z_1}; antisymmetrised version gives [f,g]_⋆ = ℏ {f,g} + O(ℏ²). Decorated PBW-Stokes complex computes the radial Stokes obstruction [(T_{a,b}, E^+_{a,b})] ∈ coker B_{a,b} for D^□_{a,b} = C^+_{a,b} ∂_2.","probe (1) N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ machine-checked",Appendix H (radial-parts-moyal); Appendix I §4 (decorated PBW-Stokes complex),Weyl-Moyal quantisation is the operational quantisation of the formal symplectic polydisk; PBW Stokes class measures radial Stokes corrections.
518,260,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
519,261,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Upgrade,Medium,"Moyal-Weyl star product f ⋆ g = ∑_n (ℏ/2)^n/n! · Π^n(f,g) with Poisson bivector Π = ∂_{z_1} ⊗ ∂_{z_2} - ∂_{z_2} ⊗ ∂_{z_1}; antisymmetrised version gives [f,g]_⋆ = ℏ {f,g} + O(ℏ²). Decorated PBW-Stokes complex computes the radial Stokes obstruction [(T_{a,b}, E^+_{a,b})] ∈ coker B_{a,b} for D^□_{a,b} = C^+_{a,b} ∂_2.","probe (1) N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ machine-checked",Appendix H (radial-parts-moyal); Appendix I §4 (decorated PBW-Stokes complex),Weyl-Moyal quantisation is the operational quantisation of the formal symplectic polydisk; PBW Stokes class measures radial Stokes corrections.
520,261,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
521,262,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",BV/QME/renormalization,T_QME,Upgrade,High,"All-loop brane-defect QME counterterm tower {C_{n,M}}_{n≥1, M≤N} in Costello renormalisation-group filtered complex. Recursion d_M C_{n,M} = -o^{ns}_{n,M} at order ℏ^n, window M, with o^{ns}_{n,M} the non-scalar obstruction polynomial assembled from Feynman graphs constructed from the brane-defect propagator K_{∂,bulk} and the closed-to-open vertex Φ_N. Milnor / Roos compatibility π_{M,N} C_{n,M} = C_{n,N} controls finite-window inverse limits.",probe (9) chain-level Feynman graph computation; DEFERRED to inscribed proof (symbolic reproof requires the full Costello graph QME machinery),Thm 7768 axiom (vii); Appendix I §11-12 (scalar-contact projection; Costello brane-defect graph QME),"non-scalar curvature is absorbed recursively when cohomology obstruction [o^{ns}_{n,M}] vanishes; scalar contact piece is absorbed by the Capelli central extension."
522,262,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",BV/QME/renormalization,T_QME,Verification probe,High,"QME recursion at order ℏ^n, window M: d_M C_{n,M} = -o^{ns}_{n,M} and tower compatibility π_{M,N} C_{n,M} = C_{n,N}.",DEFERRED — all-loop chain-level Feynman graph computation in Costello brane-defect graph QME (Appendix I §12); not symbolically machine-checkable without coding the full graph machinery,Rmk 8107 probe (9) (main.tex:8142-8144),the probe is the cohomology vanishing condition for the obstruction polynomial at each window/order.
523,263,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Upgrade,Medium,"Moyal-Weyl star product f ⋆ g = ∑_n (ℏ/2)^n/n! · Π^n(f,g) with Poisson bivector Π = ∂_{z_1} ⊗ ∂_{z_2} - ∂_{z_2} ⊗ ∂_{z_1}; antisymmetrised version gives [f,g]_⋆ = ℏ {f,g} + O(ℏ²). Decorated PBW-Stokes complex computes the radial Stokes obstruction [(T_{a,b}, E^+_{a,b})] ∈ coker B_{a,b} for D^□_{a,b} = C^+_{a,b} ∂_2.","probe (1) N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ machine-checked",Appendix H (radial-parts-moyal); Appendix I §4 (decorated PBW-Stokes complex),Weyl-Moyal quantisation is the operational quantisation of the formal symplectic polydisk; PBW Stokes class measures radial Stokes corrections.
524,263,"5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.4 Formal Weyl/Moyal target, all orders",Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
525,264,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,Quantization / radial / PBW,T_quant/radial,Upgrade,Medium,"Moyal-Weyl star product f ⋆ g = ∑_n (ℏ/2)^n/n! · Π^n(f,g) with Poisson bivector Π = ∂_{z_1} ⊗ ∂_{z_2} - ∂_{z_2} ⊗ ∂_{z_1}; antisymmetrised version gives [f,g]_⋆ = ℏ {f,g} + O(ℏ²). Decorated PBW-Stokes complex computes the radial Stokes obstruction [(T_{a,b}, E^+_{a,b})] ∈ coker B_{a,b} for D^□_{a,b} = C^+_{a,b} ∂_2.","probe (1) N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ machine-checked",Appendix H (radial-parts-moyal); Appendix I §4 (decorated PBW-Stokes complex),Weyl-Moyal quantisation is the operational quantisation of the formal symplectic polydisk; PBW Stokes class measures radial Stokes corrections.
526,264,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
527,265,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,Quantization / radial / PBW,T_quant/radial,Upgrade,Medium,"Moyal-Weyl star product f ⋆ g = ∑_n (ℏ/2)^n/n! · Π^n(f,g) with Poisson bivector Π = ∂_{z_1} ⊗ ∂_{z_2} - ∂_{z_2} ⊗ ∂_{z_1}; antisymmetrised version gives [f,g]_⋆ = ℏ {f,g} + O(ℏ²). Decorated PBW-Stokes complex computes the radial Stokes obstruction [(T_{a,b}, E^+_{a,b})] ∈ coker B_{a,b} for D^□_{a,b} = C^+_{a,b} ∂_2.","probe (1) N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ machine-checked",Appendix H (radial-parts-moyal); Appendix I §4 (decorated PBW-Stokes complex),Weyl-Moyal quantisation is the operational quantisation of the formal symplectic polydisk; PBW Stokes class measures radial Stokes corrections.
528,265,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
529,266,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,BV/QME/renormalization,T_QME,Upgrade,High,"All-loop brane-defect QME counterterm tower {C_{n,M}}_{n≥1, M≤N} in Costello renormalisation-group filtered complex. Recursion d_M C_{n,M} = -o^{ns}_{n,M} at order ℏ^n, window M, with o^{ns}_{n,M} the non-scalar obstruction polynomial assembled from Feynman graphs constructed from the brane-defect propagator K_{∂,bulk} and the closed-to-open vertex Φ_N. Milnor / Roos compatibility π_{M,N} C_{n,M} = C_{n,N} controls finite-window inverse limits.",probe (9) chain-level Feynman graph computation; DEFERRED to inscribed proof (symbolic reproof requires the full Costello graph QME machinery),Thm 7768 axiom (vii); Appendix I §11-12 (scalar-contact projection; Costello brane-defect graph QME),"non-scalar curvature is absorbed recursively when cohomology obstruction [o^{ns}_{n,M}] vanishes; scalar contact piece is absorbed by the Capelli central extension."
530,266,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,BV/QME/renormalization,T_QME,Verification probe,High,"QME recursion at order ℏ^n, window M: d_M C_{n,M} = -o^{ns}_{n,M} and tower compatibility π_{M,N} C_{n,M} = C_{n,N}.",DEFERRED — all-loop chain-level Feynman graph computation in Costello brane-defect graph QME (Appendix I §12); not symbolically machine-checkable without coding the full graph machinery,Rmk 8107 probe (9) (main.tex:8142-8144),the probe is the cohomology vanishing condition for the obstruction polynomial at each window/order.
531,267,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,Quantization / radial / PBW,T_quant/radial,Upgrade,Medium,"Moyal-Weyl star product f ⋆ g = ∑_n (ℏ/2)^n/n! · Π^n(f,g) with Poisson bivector Π = ∂_{z_1} ⊗ ∂_{z_2} - ∂_{z_2} ⊗ ∂_{z_1}; antisymmetrised version gives [f,g]_⋆ = ℏ {f,g} + O(ℏ²). Decorated PBW-Stokes complex computes the radial Stokes obstruction [(T_{a,b}, E^+_{a,b})] ∈ coker B_{a,b} for D^□_{a,b} = C^+_{a,b} ∂_2.","probe (1) N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ machine-checked",Appendix H (radial-parts-moyal); Appendix I §4 (decorated PBW-Stokes complex),Weyl-Moyal quantisation is the operational quantisation of the formal symplectic polydisk; PBW Stokes class measures radial Stokes corrections.
532,267,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
533,268,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,Quantization / radial / PBW,T_quant/radial,Upgrade,Medium,"Moyal-Weyl star product f ⋆ g = ∑_n (ℏ/2)^n/n! · Π^n(f,g) with Poisson bivector Π = ∂_{z_1} ⊗ ∂_{z_2} - ∂_{z_2} ⊗ ∂_{z_1}; antisymmetrised version gives [f,g]_⋆ = ℏ {f,g} + O(ℏ²). Decorated PBW-Stokes complex computes the radial Stokes obstruction [(T_{a,b}, E^+_{a,b})] ∈ coker B_{a,b} for D^□_{a,b} = C^+_{a,b} ∂_2.","probe (1) N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ machine-checked",Appendix H (radial-parts-moyal); Appendix I §4 (decorated PBW-Stokes complex),Weyl-Moyal quantisation is the operational quantisation of the formal symplectic polydisk; PBW Stokes class measures radial Stokes corrections.
534,268,5 CE/PV dictionary as Koszul resolution > 5.7 Stratified CE/PV and admissible Koszul duality > 5.7.5 Third-order target for Costello's graph problem,Quantization / radial / PBW,T_quant/radial,Verification probe,Medium,"N=1 star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏ at the trivial-N reduction.",PASS — machine-checked symbolically at ℏ-leading order,Rmk 8107 probe (1) (main.tex:8111-8113); Appendix H,N=1 limit is the simplest non-trivial probe; the Moyal commutator at leading order is the Hamiltonian bracket.
535,269,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Upgrade,Critical,"Capelli-projective central extension 0 → CK → ĝ_cent → g → 0 with [(f,aK),(g,bK)] = ({f,g}, ℏN ω(f,g) K), ω(f,g) = [{f,g}]_0. Closedness of ω in C²_CE(h, C) by Jacobi for {·,·} + linearity of constant projection (machine-checked). Central charge ℏN[c̄] ∈ H²_Lie(h̄, C)[[ℏ]] = Ω_central|_{J(f)} = curvature of modular line bundle at trace generator. Star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏN at operator level; classical avatar {Tr φ_1, Tr φ_2} = N (probe 2).","Capelli cocycle Jacobi machine-checked on 5 monomial triples; finite-N trace bracket at N=2, N=3 machine-checked",Thm 7768 eq:cent-extension; Thm capelli-equals-modular-curvature,"anomaly upgrades to projective curvature; the Capelli scalar is not removable, only relabelled as modular curvature."
536,269,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Verification probe,Critical,"Finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); finite-N at N=2 and N=3 with explicit scalar matrix realisations; Moyal star commutator at ℏ-leading order.",PASS — finite-N trace bracket machine-checked at N=2 and N=3 on 5 monomial pairs each,Rmk 8107 probe (2); Thm capelli-equals-modular-curvature,"non-vanishing of {Tr φ_1, Tr φ_2} = N is the operational signature of the Capelli central charge; vanishing signals downgrade."
537,270,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Upgrade,Critical,"Capelli-projective central extension 0 → CK → ĝ_cent → g → 0 with [(f,aK),(g,bK)] = ({f,g}, ℏN ω(f,g) K), ω(f,g) = [{f,g}]_0. Closedness of ω in C²_CE(h, C) by Jacobi for {·,·} + linearity of constant projection (machine-checked). Central charge ℏN[c̄] ∈ H²_Lie(h̄, C)[[ℏ]] = Ω_central|_{J(f)} = curvature of modular line bundle at trace generator. Star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏN at operator level; classical avatar {Tr φ_1, Tr φ_2} = N (probe 2).","Capelli cocycle Jacobi machine-checked on 5 monomial triples; finite-N trace bracket at N=2, N=3 machine-checked",Thm 7768 eq:cent-extension; Thm capelli-equals-modular-curvature,"anomaly upgrades to projective curvature; the Capelli scalar is not removable, only relabelled as modular curvature."
538,270,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Verification probe,Critical,"Finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); finite-N at N=2 and N=3 with explicit scalar matrix realisations; Moyal star commutator at ℏ-leading order.",PASS — finite-N trace bracket machine-checked at N=2 and N=3 on 5 monomial pairs each,Rmk 8107 probe (2); Thm capelli-equals-modular-curvature,"non-vanishing of {Tr φ_1, Tr φ_2} = N is the operational signature of the Capelli central charge; vanishing signals downgrade."
539,271,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Upgrade,Critical,"Capelli-projective central extension 0 → CK → ĝ_cent → g → 0 with [(f,aK),(g,bK)] = ({f,g}, ℏN ω(f,g) K), ω(f,g) = [{f,g}]_0. Closedness of ω in C²_CE(h, C) by Jacobi for {·,·} + linearity of constant projection (machine-checked). Central charge ℏN[c̄] ∈ H²_Lie(h̄, C)[[ℏ]] = Ω_central|_{J(f)} = curvature of modular line bundle at trace generator. Star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏN at operator level; classical avatar {Tr φ_1, Tr φ_2} = N (probe 2).","Capelli cocycle Jacobi machine-checked on 5 monomial triples; finite-N trace bracket at N=2, N=3 machine-checked",Thm 7768 eq:cent-extension; Thm capelli-equals-modular-curvature,"anomaly upgrades to projective curvature; the Capelli scalar is not removable, only relabelled as modular curvature."
540,271,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Verification probe,Critical,"Finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); finite-N at N=2 and N=3 with explicit scalar matrix realisations; Moyal star commutator at ℏ-leading order.",PASS — finite-N trace bracket machine-checked at N=2 and N=3 on 5 monomial pairs each,Rmk 8107 probe (2); Thm capelli-equals-modular-curvature,"non-vanishing of {Tr φ_1, Tr φ_2} = N is the operational signature of the Capelli central charge; vanishing signals downgrade."
541,272,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Upgrade,Critical,"Capelli-projective central extension 0 → CK → ĝ_cent → g → 0 with [(f,aK),(g,bK)] = ({f,g}, ℏN ω(f,g) K), ω(f,g) = [{f,g}]_0. Closedness of ω in C²_CE(h, C) by Jacobi for {·,·} + linearity of constant projection (machine-checked). Central charge ℏN[c̄] ∈ H²_Lie(h̄, C)[[ℏ]] = Ω_central|_{J(f)} = curvature of modular line bundle at trace generator. Star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏN at operator level; classical avatar {Tr φ_1, Tr φ_2} = N (probe 2).","Capelli cocycle Jacobi machine-checked on 5 monomial triples; finite-N trace bracket at N=2, N=3 machine-checked",Thm 7768 eq:cent-extension; Thm capelli-equals-modular-curvature,"anomaly upgrades to projective curvature; the Capelli scalar is not removable, only relabelled as modular curvature."
542,272,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Verification probe,Critical,"Finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); finite-N at N=2 and N=3 with explicit scalar matrix realisations; Moyal star commutator at ℏ-leading order.",PASS — finite-N trace bracket machine-checked at N=2 and N=3 on 5 monomial pairs each,Rmk 8107 probe (2); Thm capelli-equals-modular-curvature,"non-vanishing of {Tr φ_1, Tr φ_2} = N is the operational signature of the Capelli central charge; vanishing signals downgrade."
543,273,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Upgrade,Critical,"Capelli-projective central extension 0 → CK → ĝ_cent → g → 0 with [(f,aK),(g,bK)] = ({f,g}, ℏN ω(f,g) K), ω(f,g) = [{f,g}]_0. Closedness of ω in C²_CE(h, C) by Jacobi for {·,·} + linearity of constant projection (machine-checked). Central charge ℏN[c̄] ∈ H²_Lie(h̄, C)[[ℏ]] = Ω_central|_{J(f)} = curvature of modular line bundle at trace generator. Star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏN at operator level; classical avatar {Tr φ_1, Tr φ_2} = N (probe 2).","Capelli cocycle Jacobi machine-checked on 5 monomial triples; finite-N trace bracket at N=2, N=3 machine-checked",Thm 7768 eq:cent-extension; Thm capelli-equals-modular-curvature,"anomaly upgrades to projective curvature; the Capelli scalar is not removable, only relabelled as modular curvature."
544,273,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Verification probe,Critical,"Finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); finite-N at N=2 and N=3 with explicit scalar matrix realisations; Moyal star commutator at ℏ-leading order.",PASS — finite-N trace bracket machine-checked at N=2 and N=3 on 5 monomial pairs each,Rmk 8107 probe (2); Thm capelli-equals-modular-curvature,"non-vanishing of {Tr φ_1, Tr φ_2} = N is the operational signature of the Capelli central charge; vanishing signals downgrade."
545,274,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Upgrade,Critical,"Capelli-projective central extension 0 → CK → ĝ_cent → g → 0 with [(f,aK),(g,bK)] = ({f,g}, ℏN ω(f,g) K), ω(f,g) = [{f,g}]_0. Closedness of ω in C²_CE(h, C) by Jacobi for {·,·} + linearity of constant projection (machine-checked). Central charge ℏN[c̄] ∈ H²_Lie(h̄, C)[[ℏ]] = Ω_central|_{J(f)} = curvature of modular line bundle at trace generator. Star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏN at operator level; classical avatar {Tr φ_1, Tr φ_2} = N (probe 2).","Capelli cocycle Jacobi machine-checked on 5 monomial triples; finite-N trace bracket at N=2, N=3 machine-checked",Thm 7768 eq:cent-extension; Thm capelli-equals-modular-curvature,"anomaly upgrades to projective curvature; the Capelli scalar is not removable, only relabelled as modular curvature."
546,274,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Verification probe,Critical,"Finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); finite-N at N=2 and N=3 with explicit scalar matrix realisations; Moyal star commutator at ℏ-leading order.",PASS — finite-N trace bracket machine-checked at N=2 and N=3 on 5 monomial pairs each,Rmk 8107 probe (2); Thm capelli-equals-modular-curvature,"non-vanishing of {Tr φ_1, Tr φ_2} = N is the operational signature of the Capelli central charge; vanishing signals downgrade."
547,275,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,BV/QME/renormalization,T_QME,Upgrade,High,"All-loop brane-defect QME counterterm tower {C_{n,M}}_{n≥1, M≤N} in Costello renormalisation-group filtered complex. Recursion d_M C_{n,M} = -o^{ns}_{n,M} at order ℏ^n, window M, with o^{ns}_{n,M} the non-scalar obstruction polynomial assembled from Feynman graphs constructed from the brane-defect propagator K_{∂,bulk} and the closed-to-open vertex Φ_N. Milnor / Roos compatibility π_{M,N} C_{n,M} = C_{n,N} controls finite-window inverse limits.",probe (9) chain-level Feynman graph computation; DEFERRED to inscribed proof (symbolic reproof requires the full Costello graph QME machinery),Thm 7768 axiom (vii); Appendix I §11-12 (scalar-contact projection; Costello brane-defect graph QME),"non-scalar curvature is absorbed recursively when cohomology obstruction [o^{ns}_{n,M}] vanishes; scalar contact piece is absorbed by the Capelli central extension."
548,275,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,BV/QME/renormalization,T_QME,Verification probe,High,"QME recursion at order ℏ^n, window M: d_M C_{n,M} = -o^{ns}_{n,M} and tower compatibility π_{M,N} C_{n,M} = C_{n,N}.",DEFERRED — all-loop chain-level Feynman graph computation in Costello brane-defect graph QME (Appendix I §12); not symbolically machine-checkable without coding the full graph machinery,Rmk 8107 probe (9) (main.tex:8142-8144),the probe is the cohomology vanishing condition for the obstruction polynomial at each window/order.
549,276,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Upgrade,Critical,"Capelli-projective central extension 0 → CK → ĝ_cent → g → 0 with [(f,aK),(g,bK)] = ({f,g}, ℏN ω(f,g) K), ω(f,g) = [{f,g}]_0. Closedness of ω in C²_CE(h, C) by Jacobi for {·,·} + linearity of constant projection (machine-checked). Central charge ℏN[c̄] ∈ H²_Lie(h̄, C)[[ℏ]] = Ω_central|_{J(f)} = curvature of modular line bundle at trace generator. Star bracket [Φ_ℏ(z_1), Φ_ℏ(z_2)]_⋆ = ℏN at operator level; classical avatar {Tr φ_1, Tr φ_2} = N (probe 2).","Capelli cocycle Jacobi machine-checked on 5 monomial triples; finite-N trace bracket at N=2, N=3 machine-checked",Thm 7768 eq:cent-extension; Thm capelli-equals-modular-curvature,"anomaly upgrades to projective curvature; the Capelli scalar is not removable, only relabelled as modular curvature."
550,276,Contents > 6 The Capelli scalar > 6.1 The U(1) centre-of-mass cocycle,Capelli projective curvature,T_Capelli,Verification probe,Critical,"Finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); finite-N at N=2 and N=3 with explicit scalar matrix realisations; Moyal star commutator at ℏ-leading order.",PASS — finite-N trace bracket machine-checked at N=2 and N=3 on 5 monomial pairs each,Rmk 8107 probe (2); Thm capelli-equals-modular-curvature,"non-vanishing of {Tr φ_1, Tr φ_2} = N is the operational signature of the Capelli central charge; vanishing signals downgrade."
