ID,Page,Section heading,Category,Theorem level,Finding type,Severity,Status,Verification reference,Notes,Surrounding text quote (truncated),Issue / improvement,Strongest upgrade construction,Verification / consistency probe
98,50,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Pro-Matlis / residue duality,T_kernel,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (7) Kernel Maurer-Cartan dΘ_B+½[Θ_B,Θ_B]=0; plus probe (11) curve restriction R(K^(2)_Δ)=dw/(w-w')","Kernel/Casimir probes at main.tex:8134-8136, 8150-8152","'-local quotient stated above; the all-window form is Theorem 8.40, with the pro-Matlis retract the target replacement absorbing this leak (Corollary 8.41). The one-pair analytic quotient is formal once the full analytic",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
99,51,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Chiral E_d / global descent,T_KN/global,Upgrade,Critical,verified,Thm \ref{thm:main-global-conditional} (main.tex:8323): A^cl_bulk ≃ Z^{der}_{E_2^HT}(C^op_∂) ⟺ Ob^global=Ob^chE2_Deligne ⊕ Ob^KN_desc ⊕ Ob^all-loop_QME = 0; Rmk on local trivialisation (main.tex:8386),Global as exact obstruction-vanishing theorem; chiral E_d-Deligne open at d≥2,'-window current quotient is obstructed by ObBMK-curr 𝑁 . A strict all-arity 𝐸2 transfer is the downstream theorem target: it requires first cross- ing this finite-current condition and then solving the six-entry all-win,Do not let the formal-Darboux stalk masquerade as the global theorem; strengthen globality by naming the complete obstruction vector.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
100,51,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Chiral E_d / global descent,T_KN/global,Verification probe,Critical,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (10): [d_2]∈H^2(∂X^KN, Hom^{-1}(H^•,H^•)); plus Thm \ref{thm:main-global-conditional} (main.tex:8323) Ob^global=Ob^chE2⊕Ob^KN_desc⊕Ob^all-loop_QME = 0",Global descent probe at main.tex:8145-8149,'-window current quotient is obstructed by ObBMK-curr 𝑁 . A strict all-arity 𝐸2 transfer is the downstream theorem target: it requires first cross- ing this finite-current condition and then solving the six-entry all-win,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
101,52,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Chiral E_d / global descent,T_KN/global,Upgrade,Critical,verified,Thm \ref{thm:main-global-conditional} (main.tex:8323): A^cl_bulk ≃ Z^{der}_{E_2^HT}(C^op_∂) ⟺ Ob^global=Ob^chE2_Deligne ⊕ Ob^KN_desc ⊕ Ob^all-loop_QME = 0; Rmk on local trivialisation (main.tex:8386),Global as exact obstruction-vanishing theorem; chiral E_d-Deligne open at d≥2,"fication Hamiltonians modulo constants become b𝔥= ℂ[[𝑧1, 𝑧2]]/ℂ, and the point-brane Ext algebra is the coordinate-free exterior algebra Ext∗ 𝑋(O𝑝, O𝑝) Λ∗𝑇𝑝𝑋, with cyclic trace fixed by 𝜔𝑝. Hence the open BV reduction an",Do not let the formal-Darboux stalk masquerade as the global theorem; strengthen globality by naming the complete obstruction vector.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
102,52,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Chiral E_d / global descent,T_KN/global,Verification probe,Critical,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (10): [d_2]∈H^2(∂X^KN, Hom^{-1}(H^•,H^•)); plus Thm \ref{thm:main-global-conditional} (main.tex:8323) Ob^global=Ob^chE2⊕Ob^KN_desc⊕Ob^all-loop_QME = 0",Global descent probe at main.tex:8145-8149,"fication Hamiltonians modulo constants become b𝔥= ℂ[[𝑧1, 𝑧2]]/ℂ, and the point-brane Ext algebra is the coordinate-free exterior algebra Ext∗ 𝑋(O𝑝, O𝑝) Λ∗𝑇𝑝𝑋, with cyclic trace fixed by 𝜔𝑝. Hence the open BV reduction an",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
103,53,Contents > 1 The setup > 1.4 Local setup at one brane stack,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Upgrade,High,verified,"Thm \ref{thm:main-local} (main.tex:7768): A^cl_bulk|_b ≃ Z^{der,adm}_{E_1}(A^cl_∂,N) ≃ HH^•_adm(A^cl_∂,N, A^cl_∂,N); Def \ref{defn:admissible-hochschild-centre-lift} centrality homotopies; Thm \ref{thm:protected-summand-exhausts} (main.tex:8156)","Derived E_1-centre = adm Hochschild cohomology, generators (J(f),θ_f,K)",rying a stack of 𝔤𝔩𝑁Dirac branes meets a formal holomorphic-symplectic polydisk transverse to it. The brane line selects a Lagrangian inside that polydisk; the polydisk supplies the Hamiltonian deformations as conjugate ,"Make the trace map forced rather than chosen: Dirac/Koszul descent, primitive trace generation, and Darboux naturality should all be visible.",Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
104,53,Contents > 1 The setup > 1.4 Local setup at one brane stack,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (8): [Phi_N(x),a]_G=dH^prod_{x,a} and {Phi_N(x),a}_{P_0}=dH^{P_0}_{x,a}",Hochschild centrality probe at main.tex:8137-8141,rying a stack of 𝔤𝔩𝑁Dirac branes meets a formal holomorphic-symplectic polydisk transverse to it. The brane line selects a Lagrangian inside that polydisk; the polydisk supplies the Hamiltonian deformations as conjugate ,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
105,54,Contents > 1 The setup > 1.4 Local setup at one brane stack,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,"52 Contents avatar of a Hamiltonian is its motion on the moduli. The trace character of a bulk Hamiltonian 𝑓∈b𝔥= ℂ[[𝑧1, 𝑧2]]/ℂ· 1 at the shifted-cotangent avatar 𝑢𝑓is 𝐽(𝑓) = Tr 𝑓(𝜙1, 𝜙2), (2) the gauge-invariant trace of",Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
106,54,Contents > 1 The setup > 1.4 Local setup at one brane stack,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,"52 Contents avatar of a Hamiltonian is its motion on the moduli. The trace character of a bulk Hamiltonian 𝑓∈b𝔥= ℂ[[𝑧1, 𝑧2]]/ℂ· 1 at the shifted-cotangent avatar 𝑢𝑓is 𝐽(𝑓) = Tr 𝑓(𝜙1, 𝜙2), (2) the gauge-invariant trace of",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
107,55,Contents > 1 The setup > 1.4 Local setup at one brane stack,CE/PV and Schouten,T_P0 / T_coord,Upgrade,High,verified,"Thm \ref{thm:universal-ce-pv-koszul-criterion} (main.tex:7643): coordinate-window CE/PV identity Φ_coord: C^•_CE,coord(h⋉h^∨_cont[1]) → PV_coord(A_∂,coord); admissible B clauses give P_0 isomorphism","CE/PV at coord level; bracket-admissible B gives P_0 iso; kernel-admissible (B,K_B) gives Θ_B MC equation","the closed side. The Hamiltonian-dual CE coordinate 𝑐𝑓maps under the cotangent CE/PV comparison to the Schouten polyvector coordinate 𝜃𝑓onbS( ¯𝐴), the generator of an infinitesimal canonical motion as a vector field on t",Separate the coordinate CE/PV identity from bracket-admissible P0 and kernel-admissible factorization levels.,"Insert the finite-dimensional CE/PV comparison on generators, then state completion needed for Schouten brackets and diagonal kernels.","Verify c^i -> partial_{xi_i}, u_i -> xi_i intertwines d_CE with d_pi=[pi,-]."
108,55,Contents > 1 The setup > 1.4 Local setup at one brane stack,CE/PV and Schouten,T_P0 / T_coord,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (5) CE/PV differential c^k↦∂_{ξ_k}, u_k↦ξ_k; d_CE matches d_π; plus Thm \ref{thm:universal-ce-pv-koszul-criterion} (main.tex:7643)",CE/PV differential probe at main.tex:8125-8130,"the closed side. The Hamiltonian-dual CE coordinate 𝑐𝑓maps under the cotangent CE/PV comparison to the Schouten polyvector coordinate 𝜃𝑓onbS( ¯𝐴), the generator of an infinitesimal canonical motion as a vector field on t",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"Insert the finite-dimensional CE/PV comparison on generators, then state completion needed for Schouten brackets and diagonal kernels.","Verify c^i -> partial_{xi_i}, u_i -> xi_i intertwines d_CE with d_pi=[pi,-]."
109,56,Contents > 1 The setup > 1.5 Notation for the local theorem,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,"54 Contents whence 1 2{𝑆, 𝑆}BV = ∫ ⟨𝐷∨𝛼𝛽, 𝐹𝛼⟩𝑑𝑧1𝑑𝑧2 = −(−1)|𝛽| ∫ ⟨𝛽, 𝐷𝛼𝐹𝛼⟩𝑑𝑧1𝑑𝑧2 = 0. The free and BF pieces 𝑆free = ∫ ⟨𝛽, 𝐷𝛼⟩𝑑𝑧1𝑑𝑧2, 𝐼BF = 1 2 ∫ ⟨𝛽, {𝛼, 𝛼}⟩𝑑𝑧1𝑑𝑧2, contain the differential once and the Hamiltonian inter",Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
110,56,Contents > 1 The setup > 1.5 Notation for the local theorem,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,"54 Contents whence 1 2{𝑆, 𝑆}BV = ∫ ⟨𝐷∨𝛼𝛽, 𝐹𝛼⟩𝑑𝑧1𝑑𝑧2 = −(−1)|𝛽| ∫ ⟨𝛽, 𝐷𝛼𝐹𝛼⟩𝑑𝑧1𝑑𝑧2 = 0. The free and BF pieces 𝑆free = ∫ ⟨𝛽, 𝐷𝛼⟩𝑑𝑧1𝑑𝑧2, 𝐼BF = 1 2 ∫ ⟨𝛽, {𝛼, 𝛼}⟩𝑑𝑧1𝑑𝑧2, contain the differential once and the Hamiltonian inter",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
111,57,Contents > 1 The setup > 1.6 Three notions of locality,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,"structures (Corollary 5.172), connected by the Fourier-polarized Rees bridge of Theorem 8.12. See Example 2.2 for the lowest non-trivial worked case. 1.6 Three notions of locality The local model carries three independen",Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
112,57,Contents > 1 The setup > 1.6 Three notions of locality,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,"structures (Corollary 5.172), connected by the Fourier-polarized Rees bridge of Theorem 8.12. See Example 2.2 for the lowest non-trivial worked case. 1.6 Three notions of locality The local model carries three independen",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
113,58,Contents > 1 The setup > 1.7 Unitarity,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,"56 Contents (c) Formal holomorphic locality. In the holomorphic direction (the ℂ2 factor), the model has been com- pleted at the brane point 𝑝∈ℂ2. It is a theory of holomorphic jets at 𝑝. Antiholomorphic translations are",Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
114,58,Contents > 1 The setup > 1.7 Unitarity,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,"56 Contents (c) Formal holomorphic locality. In the holomorphic direction (the ℂ2 factor), the model has been com- pleted at the brane point 𝑝∈ℂ2. It is a theory of holomorphic jets at 𝑝. Antiholomorphic translations are",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
115,59,Contents > 2 The shifted-cotangent BF Lie algebra,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,al holomor- phic singular product is the diagonal local-cohomology expansion of Theorem 1.15; a one-dimensional VOA/OPE algebra is present only after a separate one-complex-dimensional reduction datum retaining the requi,Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
116,59,Contents > 2 The shifted-cotangent BF Lie algebra,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,al holomor- phic singular product is the diagonal local-cohomology expansion of Theorem 1.15; a one-dimensional VOA/OPE algebra is present only after a separate one-complex-dimensional reduction datum retaining the requi,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
117,60,Contents > 2 The shifted-cotangent BF Lie algebra,Pro-Matlis / residue duality,T_kernel,Upgrade,High,verified,Thm \ref{thm:main-local} (main.tex:7768) axiom (v) K^(2)_Δ bracket+kernel admissibility; Thm \ref{thm:universal-ce-pv-koszul-criterion} (main.tex:7643) item 2 admissible Θ_B; Appendix I §6 kernel-admissible K_B; Appendix B pro-Matlis principal parts,Diagonal Casimir convergence + K^(2)_Δ as kernel-admissible MC tensor,"to Cartan’s identity and divergence,the BV cotangent extension,and Grothendieck–Matlis residue duality. Hamiltonian vector fields from Cartan’s identity. An infinitesimal canonical transformation of (c ℂ20, 𝜔= 𝑑𝑧1 ∧𝑑𝑧2) ","Strengthen the residue-side infrastructure: whenever P or Matlis windows occur, state whether the object is finite-window, pro-window, or completed Tate.",Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
118,60,Contents > 2 The shifted-cotangent BF Lie algebra,Pro-Matlis / residue duality,T_kernel,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (7) Kernel Maurer-Cartan dΘ_B+½[Θ_B,Θ_B]=0; plus probe (11) curve restriction R(K^(2)_Δ)=dw/(w-w')","Kernel/Casimir probes at main.tex:8134-8136, 8150-8152","to Cartan’s identity and divergence,the BV cotangent extension,and Grothendieck–Matlis residue duality. Hamiltonian vector fields from Cartan’s identity. An infinitesimal canonical transformation of (c ℂ20, 𝜔= 𝑑𝑧1 ∧𝑑𝑧2) ",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
119,61,Contents > 2 The shifted-cotangent BF Lie algebra,Pro-Matlis / residue duality,T_kernel,Upgrade,High,verified,Thm \ref{thm:main-local} (main.tex:7768) axiom (v) K^(2)_Δ bracket+kernel admissibility; Thm \ref{thm:universal-ce-pv-koszul-criterion} (main.tex:7643) item 2 admissible Θ_B; Appendix I §6 kernel-admissible K_B; Appendix B pro-Matlis principal parts,Diagonal Casimir convergence + K^(2)_Δ as kernel-admissible MC tensor,"2. The shifted-cotangent BF Lie algebra 59 withthe residue pairing ⟨𝜌𝑎,𝑏, 𝑧𝑚 1 𝑧𝑛 2 ⟩= 𝛿𝑎,𝑚𝛿𝑏,𝑛andthe residue-coadjointaction 𝑧𝑝 1 𝑧𝑞 2 · 𝜌𝑎,𝑏= −( 𝑝𝑏− 𝑞𝑎+ 𝑝−𝑞)𝜌𝑎−𝑝+1,𝑏−𝑞+1. Equivalently, this is the unique continuous tot","Strengthen the residue-side infrastructure: whenever P or Matlis windows occur, state whether the object is finite-window, pro-window, or completed Tate.",Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
120,61,Contents > 2 The shifted-cotangent BF Lie algebra,Pro-Matlis / residue duality,T_kernel,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (7) Kernel Maurer-Cartan dΘ_B+½[Θ_B,Θ_B]=0; plus probe (11) curve restriction R(K^(2)_Δ)=dw/(w-w')","Kernel/Casimir probes at main.tex:8134-8136, 8150-8152","2. The shifted-cotangent BF Lie algebra 59 withthe residue pairing ⟨𝜌𝑎,𝑏, 𝑧𝑚 1 𝑧𝑛 2 ⟩= 𝛿𝑎,𝑚𝛿𝑏,𝑛andthe residue-coadjointaction 𝑧𝑝 1 𝑧𝑞 2 · 𝜌𝑎,𝑏= −( 𝑝𝑏− 𝑞𝑎+ 𝑝−𝑞)𝜌𝑎−𝑝+1,𝑏−𝑞+1. Equivalently, this is the unique continuous tot",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
121,62,Contents > 2 The shifted-cotangent BF Lie algebra > 2.1 Closed mixed Hamiltonian sector,Pro-Matlis / residue duality,T_kernel,Upgrade,High,verified,Thm \ref{thm:main-local} (main.tex:7768) axiom (v) K^(2)_Δ bracket+kernel admissibility; Thm \ref{thm:universal-ce-pv-koszul-criterion} (main.tex:7643) item 2 admissible Θ_B; Appendix I §6 kernel-admissible K_B; Appendix B pro-Matlis principal parts,Diagonal Casimir convergence + K^(2)_Δ as kernel-admissible MC tensor,"ner; continuity of the polydisk topology fixes that dual to be the Grothendieck–Matlis principal-part module P = 𝔥∨ cont, with the residue basis 𝜌𝑎,𝑏= 𝑧−𝑎−1 1 𝑧−𝑏−1 2 𝑑𝑧1 𝑑𝑧2 (𝑎, 𝑏≥0, 𝑎+ 𝑏> 0) dual to the Taylor monomial","Strengthen the residue-side infrastructure: whenever P or Matlis windows occur, state whether the object is finite-window, pro-window, or completed Tate.",Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
122,62,Contents > 2 The shifted-cotangent BF Lie algebra > 2.1 Closed mixed Hamiltonian sector,Pro-Matlis / residue duality,T_kernel,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (7) Kernel Maurer-Cartan dΘ_B+½[Θ_B,Θ_B]=0; plus probe (11) curve restriction R(K^(2)_Δ)=dw/(w-w')","Kernel/Casimir probes at main.tex:8134-8136, 8150-8152","ner; continuity of the polydisk topology fixes that dual to be the Grothendieck–Matlis principal-part module P = 𝔥∨ cont, with the residue basis 𝜌𝑎,𝑏= 𝑧−𝑎−1 1 𝑧−𝑏−1 2 𝑑𝑧1 𝑑𝑧2 (𝑎, 𝑏≥0, 𝑎+ 𝑏> 0) dual to the Taylor monomial",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
123,63,Contents > 2 The shifted-cotangent BF Lie algebra > 2.1 Closed mixed Hamiltonian sector,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,"ctly the closedness of this one-form: 𝑑(𝜄𝑋𝜔) = (𝜕𝑧1𝑎1 + 𝜕𝑧2𝑎2) 𝑑𝑧1 ∧𝑑𝑧2 = 0. By Lemma 2.6, there is a polynomial 𝑓, unique modulo constants, such that 𝜄𝑋𝜔= −𝑑𝑓. Therefore 𝑎1 = −𝜕𝑧2𝑓, 𝑎2 = 𝜕𝑧1𝑓, so 𝑋= 𝑋𝑓. Constants are ex",Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
124,63,Contents > 2 The shifted-cotangent BF Lie algebra > 2.1 Closed mixed Hamiltonian sector,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,"ctly the closedness of this one-form: 𝑑(𝜄𝑋𝜔) = (𝜕𝑧1𝑎1 + 𝜕𝑧2𝑎2) 𝑑𝑧1 ∧𝑑𝑧2 = 0. By Lemma 2.6, there is a polynomial 𝑓, unique modulo constants, such that 𝜄𝑋𝜔= −𝑑𝑓. Therefore 𝑎1 = −𝜕𝑧2𝑓, 𝑎2 = 𝜕𝑧1𝑓, so 𝑋= 𝑋𝑓. Constants are ex",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
125,64,Contents > 2 The shifted-cotangent BF Lie algebra > 2.2 Hamiltonian BF action,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,"62 Contents Theorem 2.8 (Closed BV field complex of canonical transformations). Let 𝐷= 𝑑ℝ2 + ¯𝜕ℂ2 be the kinematic differential on ℝ2 top × ℂ2 hol. The BV cotangent extension ofb𝔥, applied to the formal local data of (c ",Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
126,64,Contents > 2 The shifted-cotangent BF Lie algebra > 2.2 Hamiltonian BF action,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,"62 Contents Theorem 2.8 (Closed BV field complex of canonical transformations). Let 𝐷= 𝑑ℝ2 + ¯𝜕ℂ2 be the kinematic differential on ℝ2 top × ℂ2 hol. The BV cotangent extension ofb𝔥, applied to the formal local data of (c ",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
